"ID","Description","Affected Status","Product","Source","Mutations","Sex","Age at Sampling","Race","Family","Relationship to Proband","Family Member Number"
GM19210,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y050,father,3
GM19141,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y071,father,3
GM19222,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y058,mother,2
GM19206,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Female,,,Y051,mother,2
GM19209,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Female,,,Y050,mother,2
GM19098,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y105,father,3
GM19192,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y112,father,3
GM19172,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y047,mother,2
GM19093,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y040,mother,2
GM19102,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y042,mother,2
GM19130,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y101,father,3
GM19092,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Male,,,Y040,father,3
GM19204,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y048,mother,2
GM19137,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y043,mother,2
GM19201,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Female,,,Y045,mother,2
GM19101,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Male,,,Y042,father,3
GM19119,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y060,father,3
GM19131,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y101,mother,2
GM18516,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y013,father,3
GM19207,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y051,father,3
GM19171,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Male,,,Y047,father,3
GM19200,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y045,father,3
GM18871,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Male,,,Y017,father,3
GM18862,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y024,father,3
GM19159,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y056,mother,2
GM19129,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Female,,,Y077,child,1
GM19127,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y077,mother,2
GM19116,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Female,,,Y060,mother,2
GM19153,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y072,father,3
GM18858,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y012,mother,2
GM18855,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Female,,,Y023,mother,2
GM18912,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Female,,,Y028,mother,2
GM19143,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Female,,,Y074,mother,2
GM19140,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y071,mother,2
GM18517,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y013,mother,2
GM19203,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y048,father,3
GM18505,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Female,,,Y005,mother,2
GM19239,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y117,father,3
GM18507,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y009,father,3
GM19193,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y112,mother,2
GM19099,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y105,mother,2
GM18913,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,267871G>A,Male,,,Y028,father,3
GM19238,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE I) | CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19 | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y117,mother,2
